0	Syd
1	Oth
2	Qld
3	RMIT
4	NUK
5	UWA
6	Mel
7	QUT
8	Adl
9	Tas
10	GRI
11	Mon
12	ANU
13	Fli
14	Cam
15	NSW
16	Can
17	UNE
18	humanities_law
19	economics
20	humanities
21	law
22	biol_chem_phys_medicine
23	socialScience
24	economics_law
25	engineering
26	medicine
27	employed_professional
28	school_teacher
29	full-time_politician
30	employed_top_management
31	self-employed_farmer_fisherman
32	self-employed_professional
33	employed_other_white-collar_worker
34	university_professor
35	employed_middle_management
36	self-employed_small_businessman
37	Military
