0	Syd
1	Oth
2	Adl
3	Mel
4	Mon
5	Qld
6	Tas
7	Oxf
8	UWA
9	NSW
10	economics_law
11	medicine
12	agronomy
13	humanities_law
14	law
15	humanities
16	economics
17	humanities_economics
18	employed_professional
19	self-employed_farmer_fisherman
20	self-employed_professional
21	employed_top_management
22	peak_body_industrial_association
23	university_professor
24	full-time_politician
25	self-employed_small_businessman
26	school_teacher
27	employed_other_white-collar_worker
28	Military
