0	Cam
1	Syd
2	Mel
3	Qld
4	Oxf
5	UWA
6	Oth
7	Tas
8	Adl
9	humanities
10	economics_law
11	law
12	economics
13	humanities_law
14	agronomy
15	humanities_economics
16	medicine
17	employed_top_management
18	employed_professional
19	self-employed_farmer_fisherman
20	self-employed_professional
21	employed_blue-collar_worker
22	employed_other_white-collar_worker
23	school_teacher
24	university_professor
25	self-employed_small_businessman
26	employed_middle_management
27	Military
