phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1980
phid/00ATA,john hodges,LP,male,Oth,medicine,employed_professional,NA,1974-05-18,1983-03-05,1980
phid/0I4,michael mackellar,LP,male,Syd,agronomy,employed_professional,NA,1969-10-25,1994-02-18,1980
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1977-12-10,1993-03-13,1980
phid/0K4,ian wilson,LP,male,Adl,law,employed_professional,NA,1972-12-02,1993-02-08,1980
phid/3F4,max burr,LP,male,NA,NA,employed_professional,NA,1975-12-13,1984-12-01,1980
phid/3G4,don dobie,LP,male,Mel,humanities,self-employed_professional,NA,1975-12-13,1996-01-29,1980
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1980
phid/6I4,ian macphee,LP,male,Syd,law,employed_professional,NA,1974-05-18,1984-12-01,1980
phid/9F4,donald cameron,LP,male,Qld,humanities,peak_body_industrial_association,NA,1977-12-10,1983-03-05,1980
phid/9G4,harry edwards,LP,male,Syd,economics,university_professor,NA,1972-12-02,1993-02-08,1980
phid/9J4,peter shack,LP,male,UWA,humanities,employed_top_management,NA,1977-12-10,1983-03-05,1980
phid/9W4,john hyde,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1974-05-18,1983-03-05,1980
phid/AF4,ewen cameron,LP,male,NA,NA,employed_top_management,NA,1977-12-10,1993-02-08,1980
phid/BV4,michael hodgman,LP,male,Tas,law,employed_professional,Military,1975-12-13,1987-07-11,1980
phid/CG4,wal fife,LP,male,NA,NA,full-time_politician,NA,1975-12-13,1984-12-01,1980
phid/CJ4,roger shipton,LP,male,Mel,humanities,employed_professional,NA,1975-12-13,1990-02-19,1980
phid/DF4,jim carlton,LP,male,Syd,biol_chem_phys,employed_top_management,NA,1977-12-10,1994-01-14,1980
phid/DJ4,jim short,LP,male,Mel,humanities_economics,employed_top_management,NA,1975-12-13,1980-10-18,1980
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1980
phid/EE6,ian viner,LP,male,UWA,law,employed_professional,NA,1972-12-02,1983-03-05,1980
phid/EI4,john moore,LP,male,Qld,economics,employed_top_management,NA,1975-12-13,2001-02-05,1980
phid/FF4,grant chapman,LP,male,Adl,humanities,self-employed_farmer_fisherman,Military,1975-12-13,1983-03-05,1980
phid/GY5,tony staley,LP,male,Mel,law,employed_top_management,NA,1970-09-19,1980-09-19,1980
phid/JNO,marshall baillieu,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1975-12-13,1980-10-18,1980
phid/JPG,jack birney,LP,male,NK,law,employed_professional,Military,1975-12-13,1983-03-05,1980
phid/JRD,john bourchier,LP,male,NA,NA,employed_top_management,NA,1972-12-02,1983-03-05,1980
phid/JRU,jim bradfield,LP,male,NA,NA,employed_top_management,Military,1975-12-13,1983-03-05,1980
phid/JT9,mel bungey,LP,male,UWA,humanities,self-employed_farmer_fisherman,NA,1974-05-18,1983-03-05,1980
phid/JTM,william burns,LP,male,NA,NA,employed_middle_management,NA,1977-12-10,1980-10-18,1980
phid/JTS,kevin cairns,LP,male,Qld,humanities_economics,employed_professional,NA,1974-05-18,1980-10-18,1980
phid/JVS,maurice neil,LP,male,Syd,law,employed_professional,Military,1975-12-13,1980-10-18,1980
phid/JVV,kevin newman,LP,male,NA,NA,other,Military,1975-06-28,1984-10-26,1980
phid/K6U,mick cotter,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1975-12-13,1980-10-18,1980
phid/K9L,victor garland,LP,male,UWA,humanities,employed_top_management,NA,1969-04-19,1981-01-22,1980
phid/K9O,peter johnson,LP,male,NA,NA,self-employed_small_businessman,NA,1975-12-13,1980-10-18,1980
phid/K9V,roger johnston,LP,male,Mel,engineering,employed_professional,NA,1977-12-10,1980-10-18,1980
phid/KB8,geoffrey giles,LP,male,Adl,humanities,self-employed_farmer_fisherman,Military,1977-12-10,1983-02-04,1980
phid/KBE,reg gillard,LP,male,NA,NA,employed_top_management,Military,1975-12-13,1980-10-18,1980
phid/KCE,gordon dean,LP,male,NK,law,employed_professional,NA,1977-12-10,1983-03-05,1980
phid/KCQ,bill graham,LP,male,NA,NA,employed_top_management,Military,1966-11-26,1980-09-19,1980
phid/KCT,peter drummond,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1972-12-02,1987-06-05,1980
phid/KD4,ken aldred,LP,male,Mon,economics,employed_professional,Military,1975-12-13,1980-10-18,1980
phid/KEO,peter falconer,LP,male,Mon,economics,employed_professional,NA,1975-12-13,1983-03-05,1980
phid/KIM,phillip lynch,LP,male,Mel,humanities,school_teacher,NA,1966-11-26,1982-10-22,1980
phid/KJU,alan jarman,LP,male,Mel,other,employed_professional,NA,1966-11-26,1983-03-05,1980
phid/KNA,john martyr,LP,male,NA,NA,full-time_politician,NA,1975-12-13,1980-10-18,1980
phid/KOB,john haslem,LP,male,Mel,economics,employed_professional,NA,1975-12-13,1980-10-18,1980
phid/KRM,barry simon,LP,male,Mel,law,employed_professional,NA,1975-12-13,1980-10-18,1980
phid/KRR,ross mclean,LP,male,UWA,economics,self-employed_professional,NA,1975-12-13,1983-03-05,1980
phid/KSB,john mcleay jr.,LP,male,NA,NA,employed_top_management,Military,1966-11-26,1981-01-22,1980
phid/KVM,tony street,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1966-11-26,1984-01-18,1980
phid/KZL,eric robinson,LP,male,NA,NA,employed_top_management,NA,1972-12-02,1981-01-07,1980
phid/L0J,murray sainsbury,LP,male,Syd,economics,self-employed_professional,NA,1975-12-13,1983-03-05,1980
phid/L1V,william yates,LP,male,Oxf,humanities,full-time_politician,Military,1975-12-13,1980-10-18,1980
phid/LE4,michael baume,LP,male,Syd,humanities,employed_top_management,NA,1975-12-13,1983-03-05,1980
phid/MH4,david jull,LP,male,NA,NA,employed_other_white-collar_worker,NA,1975-12-13,1983-03-05,1980
phid/MI4,andrew peacock,LP,male,Mel,law,employed_professional,NA,1966-04-02,1994-09-17,1980
phid/NI4,james porter,LP,male,Adl,law,employed_professional,Military,1975-12-13,1990-02-19,1980
phid/PD4,neil brown,LP,male,Mel,law,employed_professional,NA,1975-12-13,1983-03-05,1980
phid/QF4,david connolly,LP,male,Syd,humanities,other,NA,1974-05-18,1996-01-29,1980
phid/QK5,ray groom,LP,male,Mel,law,employed_professional,NA,1975-12-13,1984-10-26,1980
phid/QS4,malcolm fraser,LP,male,Oxf,humanities,self-employed_farmer_fisherman,NA,1955-12-10,1983-03-31,1980
