phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/3J4,rod sawford,ALP,male,NA,NA,school_teacher,NA,1988-03-26,2007-10-17,1998
phid/4I4,leo mcleay,ALP,male,NA,NA,trade_unionist,NA,1993-03-13,2004-08-31,1998
phid/4T4,daryl melham,ALP,male,Syd,economics,employed_professional,NA,1990-03-24,2013-09-07,1998
phid/5A5,bob brown,ALP,male,Syd,medicine,school_teacher,NA,1984-12-01,1998-08-31,1998
phid/5I4,bob mcmullan,ALP,male,UWA,economics,trade_unionist,NA,1996-03-02,1998-10-03,1998
phid/5K6,annette ellis,ALP,female,NA,NA,full-time_politician,NA,1996-03-02,1998-10-03,1998
phid/5T4,laurie brereton,ALP,male,NA,NA,employed_blue-collar_worker,NA,1990-03-24,2004-08-31,1998
phid/5V5,stephen smith,ALP,male,UWA,humanities_law,employed_professional,NA,1993-03-13,2013-08-05,1998
phid/7T4,janice crosio,ALP,female,NA,NA,full-time_politician,NA,1990-03-24,2004-08-31,1998
phid/8I4,stephen martin,ALP,male,ANU,humanities,university_professor,NA,1993-03-13,2002-08-16,1998
phid/8K6,joel fitzgibbon,ALP,male,NA,NA,self-employed_small_businessman,NA,1996-03-02,2023-01-01,1998
phid/8T4,laurie ferguson,ALP,male,Syd,economics,trade_unionist,NA,1990-03-24,2010-08-21,1998
phid/AV5,harry quick,ALP,male,NA,NA,school_teacher,NA,1993-03-13,2007-10-17,1998
phid/BV5,dick adams,ALP,male,NA,NA,trade_unionist,NA,1993-03-13,2013-09-07,1998
phid/CE4,neil o'keefe,ALP,male,LaT,other,school_teacher,NA,1984-12-01,2001-10-08,1998
phid/CF4,graeme campbell,ALP,male,NA,NA,self-employed_farmer_fisherman,NA,1980-10-18,1998-10-03,1998
phid/CH4,clyde holding,ALP,male,Mel,law,employed_professional,NA,1977-12-10,1998-08-31,1998
phid/DH4,colin hollis,ALP,male,LSE,economics,employed_top_management,NA,1984-12-01,2001-10-08,1998
phid/DT4,simon crean,ALP,male,Mon,economics_law,trade_unionist,NA,1990-03-24,2013-08-05,1998
phid/ET4,arch bevis,ALP,male,NA,NA,school_teacher,NA,1990-03-24,2010-08-21,1998
phid/FI4,allan morris,ALP,male,New,mathematics_computerScience,employed_middle_management,NA,1983-03-05,2001-10-08,1998
phid/HH4,harry jenkins,ALP,male,ANU,biol_chem_phys,employed_professional,NA,1986-02-08,2013-08-05,1998
phid/HI4,peter morris,ALP,male,NA,NA,full-time_politician,NA,1972-12-02,1998-08-31,1998
phid/JK6,robert mcclelland,ALP,male,NSW,humanities_law,employed_professional,NA,1996-03-02,2013-08-05,1998
phid/K26,mark latham,ALP,male,Syd,economics,full-time_politician,NA,1994-01-29,2005-01-21,1998
phid/KH4,barry jones,ALP,male,Mel,humanities_law,employed_professional,NA,1977-12-10,1998-08-31,1998
phid/KP6,steve dargavel,ALP,male,NA,NA,trade_unionist,NA,1997-02-01,1998-08-31,1998
phid/LN6,michael hatton,ALP,male,NSW,humanities,school_teacher,NA,1996-06-15,2007-10-17,1998
phid/LS4,martin ferguson,ALP,male,Syd,economics,trade_unionist,NA,1996-03-02,2013-08-05,1998
phid/MD4,peter baldwin,ALP,male,Syd,economics,employed_middle_management,NA,1983-03-05,1998-08-31,1998
phid/MG4,michael lee,ALP,male,NSW,biol_chem_phys_engineering,employed_professional,NA,1984-12-01,2001-11-10,1998
phid/MK6,frank mossfield,ALP,male,NA,NA,trade_unionist,NA,1996-03-02,2004-08-31,1998
phid/N36,martyn evans,ALP,male,Adl,biol_chem_phys,employed_other_white-collar_worker,NA,1994-03-19,2004-10-09,1998
phid/PE4,kim beazley,ALP,male,UWA,humanities,university_professor,NA,1996-03-02,2007-10-17,1998
phid/PG6,jenny macklin,ALP,female,Mel,economics,employed_professional,NA,1996-03-02,2019-04-11,1998
phid/QE4,david beddall,ALP,male,NA,NA,self-employed_professional,NA,1984-12-01,1998-08-31,1998
phid/QI4,roger price,ALP,male,NA,NA,employed_middle_management,NA,1984-12-01,2010-07-19,1998
phid/QJ4,andrew theophanous,ALP,male,Mon,humanities,university_professor,NA,1984-12-01,2001-11-10,1998
phid/QK6,bob sercombe,ALP,male,Mel,humanities,employed_professional,NA,1996-03-02,2007-10-17,1998
phid/R36,anthony albanese,ALP,male,Syd,economics,full-time_politician,NA,1996-03-02,2023-01-01,1998
phid/RH4,duncan kerr,ALP,male,Tas,law,employed_professional,NA,1987-07-11,2010-07-19,1998
phid/UK6,kelvin thomson,ALP,male,Mel,humanities_law,full-time_politician,NA,1996-03-02,2016-05-09,1998
phid/VD4,gareth evans,ALP,male,Mel,law,employed_professional,NA,1996-03-02,1999-09-30,1998
phid/VU5,alan griffin,ALP,male,ANU,NA,full-time_politician,NA,1996-03-02,2016-05-09,1998
phid/WU5,gavan o'connor,ALP,male,Mon,economics,school_teacher,NA,1993-03-13,2007-11-24,1998
phid/XS4,carmen lawrence,ALP,female,UWA,socialScience,university_professor,NA,1994-03-12,2007-10-17,1998
phid/YK6,greg wilton,ALP,male,Mon,biol_chem_phys,trade_unionist,NA,1996-03-02,2000-06-14,1998
phid/YU5,lindsay tanner,ALP,male,Mel,humanities_law,trade_unionist,NA,1993-03-13,2010-07-19,1998
phid/ZG4,ted grace,ALP,male,NA,NA,employed_blue-collar_worker,Military,1984-12-01,1998-08-31,1998
phid/ZJ4,ralph willis,ALP,male,Mel,economics,trade_unionist,NA,1972-12-02,1998-08-31,1998
