phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/008K0,anthony byrne,ALP,male,NA,NA,employed_top_management,NA,1999-11-06,2023-01-01,2017
phid/00AMR,catherine king,ALP,female,PIT,socialScience,employed_professional,NA,2001-11-10,2023-01-01,2017
phid/00AMT,maria vamvakinou,ALP,female,Mel,humanities,school_teacher,NA,2001-11-10,2023-01-01,2017
phid/00AN3,brendan o'connor,ALP,male,Mon,humanities_law,trade_unionist,NA,2004-10-09,2023-01-01,2017
phid/00ATG,bill shorten,ALP,male,Mon,humanities,trade_unionist,Military,2007-11-24,2023-01-01,2017
phid/101351,peter khalil,ALP,male,UM,socialScience,employed_professional,NA,2016-07-02,2023-01-01,2017
phid/102376,madeleine king,ALP,female,UWA,law,international_organisation,NA,2016-07-02,2023-01-01,2017
phid/129164,brian mitchell,ALP,male,CUT,socialScience,self-employed_professional,NA,2016-07-02,2023-01-01,2017
phid/13050,anne aly,ALP,female,AU of Cairo,socialScience,university_professor,NA,2016-07-02,2023-01-01,2017
phid/140590,clare o'neil,ALP,female,Mon,humanities,employed_professional,NA,2013-09-07,2023-01-01,2017
phid/159771,michelle rowland,ALP,female,Syd,law,employed_top_management,NA,2010-08-21,2023-01-01,2017
phid/181810,susan templeman,ALP,female,UTS,socialScience,other,NA,2016-07-02,2023-01-01,2017
phid/182468,matt thistlethwaite,ALP,male,NSW,economics,trade_unionist,NA,2013-09-07,2023-01-01,2017
phid/193430,tim watts,ALP,male,Oth,law,full-time_politician,NA,2013-09-07,2023-01-01,2017
phid/243609,andrew giles,ALP,male,Mel,law,employed_professional,NA,2013-09-07,2023-01-01,2017
phid/245392,luke gosling,ALP,male,UNSW ADFA,socialScience,full-time_politician,Military,2016-07-02,2023-01-01,2017
phid/248006,terri butler,ALP,female,QUT,humanities_law,employed_professional,NA,2014-02-08,2023-01-01,2017
phid/248181,sharon claydon,ALP,female,Syd,NA,other,NA,2013-09-07,2023-01-01,2017
phid/248353,emma mcbride,ALP,female,USyd,medicine,employed_top_management,NA,2016-07-02,2023-01-01,2017
phid/249127,pat conroy,ALP,male,Syd,humanities,full-time_politician,NA,2016-07-02,2023-01-01,2017
phid/249147,matt keogh,ALP,male,UND (Aus),socialScience,employed_professional,NA,2016-07-02,2023-01-01,2017
phid/249224,joanne ryan,ALP,female,Mel,humanities,school_teacher,NA,2013-09-07,2023-01-01,2017
phid/249710,lisa chesters,ALP,female,Qld,humanities,trade_unionist,NA,2013-09-07,2023-01-01,2017
phid/249908,cathy o'toole,ALP,female,CQU,socialScience,employed_middle_management,NA,2016-07-02,2019-05-18,2017
phid/262273,justine keay,ALP,female,UTAS,socialScience,full-time_politician,NA,2016-07-02,2019-05-10,2017
phid/263070,ross hart,ALP,male,UTAS,law,employed_professional,NA,2016-07-02,2019-05-18,2017
phid/263328,emma husar,ALP,female,NA,NA,other,NA,2016-07-02,2019-04-11,2017
phid/264170,meryl swanson,ALP,female,UNewcastle,socialScience,other,NA,2016-07-02,2023-01-01,2017
phid/265970,john wilson,ALP,male,UWA,socialScience,full-time_politician,NA,2016-07-02,2018-05-10,2017
phid/265975,susan lamb,ALP,female,NA,NA,trade_unionist,NA,2016-07-02,2018-05-10,2017
phid/265979,mike freelander,ALP,male,USyd,medicine,self-employed_professional,NA,2016-07-02,2023-01-01,2017
phid/265990,anne stanley,ALP,female,NA,NA,full-time_politician,NA,2016-07-02,2023-01-01,2017
phid/2V5,wayne swan,ALP,male,Qld,humanities,full-time_politician,NA,1998-10-03,2019-04-11,2017
