phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0095J,peter howson,LP,male,Cam,humanities,employed_top_management,Military,1955-12-10,1969-10-25,1958
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1958
phid/009MC,harold holt,LP,male,Mel,law,employed_professional,NA,1949-12-10,1967-12-19,1958
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1958
phid/DB6,bill wentworth,LP,male,Oxf,economics,self-employed_professional,Military,1949-12-10,1977-11-10,1958
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1958
phid/JMF,william aston,LP,male,NA,NA,employed_top_management,Military,1955-12-10,1961-12-09,1958
phid/JOE,jeff bate,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1972-12-02,1958
phid/JOI,howard beale,LP,male,Syd,humanities_law,self-employed_professional,Military,1946-09-28,1958-02-10,1958
phid/JQ7,francis bland,LP,male,Syd,law,university_professor,NA,1951-04-28,1961-11-02,1958
phid/JRB,william bostock,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1958-11-22,1958
phid/JSY,alexander buchanan,LP,male,NA,humanities,self-employed_farmer_fisherman,Military,1955-12-10,1972-12-02,1958
phid/JTP,les bury,LP,male,Cam,humanities,employed_top_management,Military,1956-12-08,1974-04-11,1958
phid/JU8,don cameron,LP,male,Syd,humanities,other,Military,1949-12-10,1961-12-09,1958
phid/JWE,richard casey,LP,male,Cam,engineering,employed_top_management,Military,1949-12-10,1960-02-10,1958
phid/JWI,max fox,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1974-05-18,1958
phid/JWV,fred chaney sr.,LP,male,NA,NA,school_teacher,Military,1955-12-10,1969-10-25,1958
phid/JXI,gordon freeth,LP,male,UWA,law,employed_professional,Military,1949-12-10,1969-10-25,1958
phid/JYO,richard cleaver,LP,male,NA,NA,employed_professional,Military,1955-12-10,1969-10-25,1958
phid/K7J,john cramer,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1974-04-11,1958
phid/KBH,keith wilson,LP,male,Adl,law,employed_professional,Military,1955-12-10,1966-10-31,1958
phid/KCD,frank davis,LP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1966-10-31,1958
phid/KCK,alick downer,LP,male,Oxf,economics,employed_professional,Military,1949-12-10,1964-04-23,1958
phid/KCQ,bill graham,LP,male,NA,NA,employed_top_management,Military,1955-12-10,1958-11-22,1958
phid/KCU,nigel drury,LP,male,NA,NA,employed_professional,Military,1949-12-10,1975-11-11,1958
phid/KDO,dudley erwin,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1955-12-10,1975-11-11,1958
phid/KDT,david fairbairn,LP,male,Cam,humanities,self-employed_farmer_fisherman,Military,1949-12-10,1975-11-11,1958
phid/KDY,percy joske,LP,male,Mel,law,employed_professional,Military,1951-07-28,1960-06-02,1958
phid/KEE,wilfrid kent hughes,LP,male,Oxf,humanities,employed_top_management,Military,1949-12-10,1970-07-31,1958
phid/KEN,allen fairhall,LP,male,NA,NA,employed_blue-collar_worker,Military,1949-12-10,1969-09-29,1958
phid/KEP,bill falkinder,LP,male,NA,NA,employed_professional,Military,1946-09-28,1966-10-31,1958
phid/KFH,jim forbes,LP,male,Adl,humanities,university_professor,Military,1956-10-13,1975-11-11,1958
phid/KGP,william haworth,LP,male,Mel,medicine,employed_professional,Military,1949-12-10,1969-09-29,1958
phid/KHY,john howse,LP,male,Syd,humanities,employed_top_management,Military,1946-09-28,1960-09-28,1958
phid/KIE,aubrey luck,LP,male,NA,NA,self-employed_small_businessman,NA,1955-12-10,1958-11-22,1958
phid/KIF,alan hulme,LP,male,NA,NA,employed_professional,NA,1949-12-10,1961-12-09,1958
phid/KJK,william jack,LP,male,NA,NA,employed_top_management,NA,1949-12-10,1966-10-31,1958
phid/KKU,dan mackinnon,LP,male,Oxf,humanities,self-employed_farmer_fisherman,Military,1953-08-29,1966-10-31,1958
phid/KMB,hubert opperman,LP,male,NA,NA,other,Military,1949-12-10,1967-06-10,1958
phid/KMD,frederick osborne,LP,male,Syd,humanities_law,employed_professional,Military,1949-12-10,1961-12-09,1958
phid/KOL,philip mcbride,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1946-09-28,1958-10-14,1958
phid/KQJ,malcolm mccolm,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1961-12-09,1958
phid/KSC,john mcleay sr.,LP,male,NA,NA,self-employed_small_businessman,Military,1949-12-10,1966-10-31,1958
phid/KVG,philip stokes,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1969-10-25,1958
phid/KVR,reginald swartz,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1972-11-02,1958
phid/KWE,frank timson,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1960-10-16,1958
phid/KWH,athol townley,LP,male,Tas,medicine,employed_professional,Military,1949-12-10,1963-12-24,1958
phid/KWR,harry turner,LP,male,Syd,humanities,employed_professional,NA,1952-12-20,1974-04-11,1958
phid/KXW,henry pearce,LP,male,NA,NA,other,NA,1949-12-10,1961-12-09,1958
phid/KZP,roy wheeler,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1961-12-09,1958
phid/KZW,william lawrence,LP,male,Mel,medicine,employed_professional,NA,1949-12-10,1958-11-22,1958
phid/L0V,bruce wight,LP,male,NA,NA,employed_top_management,Military,1949-12-10,1961-12-09,1958
phid/L1I,robert lindsay,LP,male,NA,NA,other,Military,1954-05-29,1966-10-31,1958
phid/LLW,roger dean,LP,male,NA,NA,employed_professional,Military,1949-12-10,1964-09-30,1958
phid/N76,robert menzies,LP,male,Mel,law,employed_professional,NA,1934-09-15,1966-02-17,1958
phid/QS4,malcolm fraser,LP,male,Oxf,humanities,self-employed_farmer_fisherman,NA,1955-12-10,1983-03-31,1958
phid/ZL6,paul hasluck,LP,male,UWA,humanities,employed_other_white-collar_worker,NA,1949-12-10,1969-02-10,1958
