phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1982
phid/00ATA,john hodges,LP,male,Oth,medicine,employed_professional,NA,1974-05-18,1983-03-05,1982
phid/0I4,michael mackellar,LP,male,Syd,agronomy,employed_professional,NA,1969-10-25,1994-02-18,1982
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1977-12-10,1993-03-13,1982
phid/0K4,ian wilson,LP,male,Adl,law,employed_professional,NA,1972-12-02,1993-02-08,1982
phid/2H4,steele hall,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1981-02-21,1996-01-29,1982
phid/3F4,max burr,LP,male,NA,NA,employed_professional,NA,1975-12-13,1984-12-01,1982
phid/3G4,don dobie,LP,male,Mel,humanities,self-employed_professional,NA,1975-12-13,1996-01-29,1982
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1982
phid/4V4,peter coleman,LP,male,Syd,humanities,employed_professional,NA,1981-04-11,1987-06-05,1982
phid/6I4,ian macphee,LP,male,Syd,law,employed_professional,NA,1974-05-18,1984-12-01,1982
phid/9F4,donald cameron,LP,male,Qld,humanities,peak_body_industrial_association,NA,1977-12-10,1983-03-05,1982
phid/9G4,harry edwards,LP,male,Syd,economics,university_professor,NA,1972-12-02,1993-02-08,1982
phid/9J4,peter shack,LP,male,UWA,humanities,employed_top_management,NA,1977-12-10,1983-03-05,1982
phid/9W4,john hyde,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1974-05-18,1983-03-05,1982
phid/AF4,ewen cameron,LP,male,NA,NA,employed_top_management,NA,1977-12-10,1993-02-08,1982
phid/BV4,michael hodgman,LP,male,Tas,law,employed_professional,Military,1975-12-13,1987-07-11,1982
phid/CG4,wal fife,LP,male,NA,NA,full-time_politician,NA,1975-12-13,1984-12-01,1982
phid/CJ4,roger shipton,LP,male,Mel,humanities,employed_professional,NA,1975-12-13,1990-02-19,1982
phid/DF4,jim carlton,LP,male,Syd,biol_chem_phys,employed_top_management,NA,1977-12-10,1994-01-14,1982
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1982
phid/EE6,ian viner,LP,male,UWA,law,employed_professional,NA,1972-12-02,1983-03-05,1982
phid/EI4,john moore,LP,male,Qld,economics,employed_top_management,NA,1975-12-13,2001-02-05,1982
