phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/00AMN,sussan ley,LP,female,LaT,economics,employed_top_management,NA,2001-11-10,2023-01-01,2016
phid/00AMV,greg hunt,LP,male,Mel,humanities_law,full-time_politician,NA,2001-11-10,2023-01-01,2016
phid/00APG,tony smith,LP,male,Mel,humanities_economics,full-time_politician,NA,2001-11-10,2023-01-01,2016
phid/00BCM,peter hendy,LP,male,Qld,economics,full-time_politician,NA,2013-09-07,2016-07-02,2016
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1993-03-13,2016-05-09,2016
phid/137174,andrew nikolic,LP,male,Adl,humanities,other,Military,2013-09-07,2016-07-02,2016
phid/165476,fiona scott,LP,female,UWS,economics,employed_middle_management,NA,2013-09-07,2016-07-02,2016
phid/198084,rick wilson,LP,male,Cur,agronomy,self-employed_farmer_fisherman,NA,2013-09-07,2023-01-01,2016
phid/1K6,bruce billson,LP,male,RMIT,economics,full-time_politician,NA,1996-03-02,2016-05-09,2016
phid/203092,trent zimmerman,LP,male,USyd,socialScience,employed_top_management,NA,2015-12-05,2023-01-01,2016
phid/207800,brett whiteley,LP,male,NA,NA,employed_top_management,NA,2013-09-07,2016-07-02,2016
phid/208884,christian porter,LP,male,UWA,humanities_law,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/210911,dan tehan,LP,male,Mel,economics,full-time_politician,NA,2010-08-21,2023-01-01,2016
phid/212585,eric hutchinson,LP,male,NA,NA,self-employed_small_businessman,NA,2013-09-07,2016-07-02,2016
phid/231027,angus taylor,LP,male,Syd,economics_law,employed_top_management,NA,2013-09-07,2023-01-01,2016
phid/240756,tony pasin,LP,male,Fli,economics_law,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/241067,david coleman,LP,male,NSW,humanities_law,employed_top_management,NA,2013-09-07,2023-01-01,2016
phid/241586,ann sudmalis,LP,female,ANU,biol_chem_phys,school_teacher,NA,2013-09-07,2019-04-11,2016
phid/241589,karen mcnamara,LP,female,SCU,law,employed_professional,NA,2013-09-07,2016-07-02,2016
phid/241590,lucy wicks,LP,female,Syd,humanities,school_teacher,NA,2013-09-07,2023-01-01,2016
phid/242515,michael sukkar,LP,male,Dea,economics_law,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/247130,craig laundy,LP,male,NSW,economics,employed_other_white-collar_worker,NA,2013-09-07,2019-04-11,2016
phid/249308,melissa price,LP,female,Oth,law,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/249758,matt williams,LP,male,Fli,humanities,employed_professional,NA,2013-09-07,2016-07-02,2016
phid/250077,nick varvaris,LP,male,UTS,economics,employed_professional,NA,2013-09-07,2016-07-02,2016
phid/260805,andrew hastie,LP,male,UNSW ADFA,socialScience,other,Military,2015-09-19,2023-01-01,2016
phid/2K6,mal brough,LP,male,NA,NA,employed_professional,Military,2013-09-07,2016-05-09,2016
phid/74046,ian goodenough,LP,male,Cur,economics,employed_top_management,NA,2013-09-07,2023-01-01,2016
phid/7K6,warren entsch,LP,male,NA,NA,employed_top_management,Military,2010-08-21,2023-01-01,2016
phid/83P,julie bishop,LP,female,Adl,law,employed_top_management,NA,1998-10-03,2019-05-18,2016
phid/885,malcolm turnbull,LP,male,Syd,humanities_law,employed_professional,NA,2004-10-09,2018-08-31,2016
phid/99931,craig kelly,LP,male,NA,NA,employed_other_white-collar_worker,NA,2010-08-21,2023-01-01,2016
phid/9K6,teresa gambaro,LP,male,QUT,economics,self-employed_professional,NA,2010-08-21,2016-05-09,2016
phid/9V5,christopher pyne,LP,male,Adl,law,employed_professional,NA,1993-03-13,2019-04-11,2016
phid/DYN,dennis jensen,LP,male,RMIT,biol_chem_phys,employed_professional,NA,2004-10-09,2016-07-02,2016
phid/E07,louise markus,LP,female,NSW,socialScience,other,NA,2010-08-21,2016-07-02,2016
phid/E0F,jason wood,LP,male,RMIT,socialScience,employed_blue-collar_worker,NA,2013-09-07,2023-01-01,2016
phid/E0J,michael keenan,LP,male,Mur,humanities,employed_other_white-collar_worker,NA,2004-10-09,2019-04-11,2016
phid/E3L,scott morrison,LP,male,NSW,biol_chem_phys,employed_top_management,NA,2007-11-24,2023-01-01,2016
phid/EM6,sharman stone,LP,female,Mon,socialScience,employed_top_management,NA,1996-03-02,2016-05-09,2016
phid/EZ5,tony abbott,LP,male,Syd,economics_law,employed_top_management,NA,1994-03-26,2019-05-18,2016
phid/FKL,josh frydenberg,LP,male,Mon,economics_law,employed_top_management,NA,2010-08-21,2023-01-01,2016
phid/FU4,andrew robb,LP,male,LaT,agronomy_economics,full-time_politician,NA,2004-10-09,2016-05-09,2016
phid/HK5,kevin andrews,LP,male,Mel,law,employed_professional,NA,1991-05-11,2023-01-01,2016
phid/HWE,luke simpkins,LP,male,NSW,humanities,other,Military,2007-11-24,2016-07-02,2016
phid/HWO,alex hawke,LP,male,Syd,humanities,full-time_politician,Military,2007-11-24,2023-01-01,2016
phid/HWP,nola marino,LP,female,NA,NA,self-employed_small_businessman,NA,2007-11-24,2023-01-01,2016
phid/HWS,rowan ramsey,LP,male,NA,NA,self-employed_farmer_fisherman,NA,2007-11-24,2023-01-01,2016
phid/HYM,steve irons,LP,male,NA,NA,employed_top_management,NA,2007-11-24,2023-01-01,2016
phid/IYU,jamie briggs,LP,male,NA,NA,full-time_politician,NA,2008-09-06,2016-07-02,2016
phid/L6B,paul fletcher,LP,male,Syd,humanities_law,employed_professional,NA,2009-12-05,2023-01-01,2016
phid/LKU,kelly o'dwyer,LP,female,Mel,humanities_law,employed_professional,NA,2009-12-05,2019-04-11,2016
phid/LL6,bob baldwin,LP,male,NA,NA,employed_top_management,NA,2001-11-10,2016-05-09,2016
phid/M2V,russell matheson,LP,male,NA,NA,other,NA,2010-08-21,2016-07-02,2016
phid/M2Y,alan tudge,LP,male,Mel,law,employed_top_management,NA,2010-08-21,2023-01-01,2016
phid/M3A,ken wyatt,LP,male,Oth,humanities,school_teacher,NA,2010-08-21,2023-01-01,2016
phid/M3M,john alexander,LP,male,NA,NA,other,NA,2010-08-21,2017-11-11,2016
phid/MT4,russell broadbent,LP,male,NA,NA,employed_top_management,NA,2004-10-09,2019-04-11,2016
phid/SE4,bronwyn bishop,LP,female,NA,law,employed_top_management,NA,1994-03-26,2016-05-09,2016
phid/TK6,andrew southcott,LP,male,Adl,medicine,employed_professional,NA,1996-03-02,2016-05-09,2016
phid/WN6,ian macfarlane,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1998-10-03,2016-05-09,2016
phid/ZN4,sarah henderson,LP,female,Mon,law,employed_professional,NA,2013-09-07,2019-05-18,2016
