phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1993-03-13,2016-05-09,1997
phid/0K6,kerry bartlett,LP,male,Syd,economics,school_teacher,NA,1996-03-02,2007-11-24,1997
phid/0L6,trish draper,LP,female,Oth,economics,employed_professional,Military,1996-03-02,2007-10-17,1997
phid/0V5,peter slipper,LP,male,Qld,humanities_law,employed_professional,NA,1993-03-13,2013-09-07,1997
phid/1K6,bruce billson,LP,male,RMIT,economics,full-time_politician,NA,1996-03-02,2016-05-09,1997
phid/2K6,mal brough,LP,male,NA,NA,employed_professional,Military,1996-03-02,2007-11-24,1997
phid/30000,kathy sullivan,LP,female,Qld,humanities,school_teacher,NA,1984-12-01,2001-10-08,1997
phid/3H4,bob halverson,LP,male,NA,NA,other,Military,1984-12-01,1998-08-31,1997
phid/3K6,ross cameron,LP,male,Syd,humanities_law,employed_professional,NA,1996-03-02,2004-10-09,1997
phid/3V5,richard evans,LP,male,NA,NA,employed_professional,NA,1993-03-13,1998-10-03,1997
phid/4G4,alexander downer,LP,male,NUK,economics,employed_professional,NA,1984-12-01,2008-07-14,1997
phid/4V5,judi moylan,LP,female,NA,NA,employed_top_management,NA,1993-03-13,2013-08-05,1997
phid/6K6,kay elson,LP,female,NA,NA,employed_professional,NA,1996-03-02,2007-10-17,1997
phid/6V5,eoin cameron,LP,male,NA,NA,other,NA,1993-03-13,1998-10-03,1997
phid/7K6,warren entsch,LP,male,NA,NA,employed_top_management,Military,1996-03-02,2007-10-17,1997
phid/7V5,daryl williams,LP,male,UWA,law,employed_professional,NA,1993-03-13,2004-08-31,1997
phid/80000,michael wooldridge,LP,male,Mel,biol_chem_phys_medicine,employed_professional,NA,1987-07-11,2001-10-08,1997
phid/8H4,david hawker,LP,male,Mel,economics,self-employed_farmer_fisherman,NA,1983-05-07,2010-07-19,1997
phid/8V5,trish worth,LP,female,NA,NA,employed_professional,NA,1993-03-13,2004-10-09,1997
phid/9K6,teresa gambaro,LP,male,QUT,economics,self-employed_professional,NA,1996-03-02,2007-11-24,1997
phid/9V5,christopher pyne,LP,male,Adl,law,employed_professional,NA,1993-03-13,2019-04-11,1997
phid/AK6,joanna gash,LP,female,NA,NA,employed_other_white-collar_worker,NA,1996-03-02,2013-08-05,1997
phid/BI4,chris miles,LP,male,Tas,other,school_teacher,NA,1984-12-01,1998-10-03,1997
phid/BT4,david kemp,LP,male,Mel,humanities_law,university_professor,NA,1990-03-24,2004-08-31,1997
phid/CK6,gary hardgrave,LP,male,GRI,humanities,other,NA,1996-03-02,2007-11-24,1997
phid/CT4,peter costello,LP,male,Mon,humanities_law,employed_professional,Military,1990-03-24,2009-10-19,1997
phid/CU4,christine gallus,LP,female,ANU,socialScience,employed_other_white-collar_worker,NA,1993-03-13,2004-08-31,1997
phid/DK6,joe hockey,LP,male,Syd,humanities_law,full-time_politician,NA,1996-03-02,2015-10-23,1997
phid/EI4,john moore,LP,male,Qld,economics,employed_top_management,NA,1975-12-13,2001-02-05,1997
phid/EK6,susan jeanes,LP,female,Fli,humanities,full-time_politician,NA,1996-03-02,1998-10-03,1997
phid/EM6,sharman stone,LP,female,Mon,socialScience,employed_top_management,NA,1996-03-02,2016-05-09,1997
phid/EZ5,tony abbott,LP,male,Syd,economics_law,employed_top_management,NA,1994-03-26,2019-05-18,1997
