phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/008K0,anthony byrne,ALP,male,NA,NA,employed_top_management,NA,1999-11-06,2023-01-01,2016
phid/00AMR,catherine king,ALP,female,PIT,socialScience,employed_professional,NA,2001-11-10,2023-01-01,2016
phid/00AMT,maria vamvakinou,ALP,female,Mel,humanities,school_teacher,NA,2001-11-10,2023-01-01,2016
phid/00AN3,brendan o'connor,ALP,male,Mon,humanities_law,trade_unionist,NA,2004-10-09,2023-01-01,2016
phid/00ATG,bill shorten,ALP,male,Mon,humanities,trade_unionist,Military,2007-11-24,2023-01-01,2016
phid/140590,clare o'neil,ALP,female,Mon,humanities,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/159771,michelle rowland,ALP,female,Syd,law,employed_top_management,NA,2010-08-21,2023-01-01,2016
phid/182468,matt thistlethwaite,ALP,male,NSW,economics,trade_unionist,NA,2013-09-07,2023-01-01,2016
phid/193430,tim watts,ALP,male,Oth,law,full-time_politician,NA,2013-09-07,2023-01-01,2016
phid/243609,andrew giles,ALP,male,Mel,law,employed_professional,NA,2013-09-07,2023-01-01,2016
phid/248006,terri butler,ALP,female,QUT,humanities_law,employed_professional,NA,2014-02-08,2023-01-01,2016
phid/248181,sharon claydon,ALP,female,Syd,NA,other,NA,2013-09-07,2023-01-01,2016
phid/249127,pat conroy,ALP,male,Syd,humanities,full-time_politician,NA,2013-09-07,2016-07-02,2016
phid/249224,joanne ryan,ALP,female,Mel,humanities,school_teacher,NA,2013-09-07,2023-01-01,2016
phid/249710,lisa chesters,ALP,female,Qld,humanities,trade_unionist,NA,2013-09-07,2023-01-01,2016
phid/2V5,wayne swan,ALP,male,Qld,humanities,full-time_politician,NA,1998-10-03,2019-04-11,2016
phid/30540,gai brodtmann,ALP,female,ANU,humanities,self-employed_small_businessman,NA,2010-08-21,2019-04-11,2016
phid/37998,jim chalmers,ALP,male,Gri,economics,university_professor,NA,2013-09-07,2023-01-01,2016
phid/83E,bernie ripoll,ALP,male,QUT,economics,trade_unionist,Military,1998-10-03,2016-05-09,2016
phid/83M,tanya plibersek,ALP,female,UTS,humanities,employed_other_white-collar_worker,NA,1998-10-03,2023-01-01,2016
phid/83N,jill hall,ALP,female,New,humanities,full-time_politician,NA,1998-10-03,2016-05-09,2016
phid/83S,anna burke,ALP,female,Mon,humanities,trade_unionist,NA,1998-10-03,2016-05-09,2016
phid/8K6,joel fitzgibbon,ALP,male,NA,NA,self-employed_small_businessman,NA,1996-03-02,2023-01-01,2016
phid/8T4,laurie ferguson,ALP,male,Syd,economics,trade_unionist,NA,2010-08-21,2016-05-09,2016
phid/8W5,gary gray,ALP,male,ANU,economics,full-time_politician,NA,2007-11-24,2016-07-02,2016
phid/91219,ed husic,ALP,male,UWS,humanities,full-time_politician,NA,2010-08-21,2023-01-01,2016
phid/A9B,stephen jones,ALP,male,Wol,humanities,trade_unionist,NA,2010-08-21,2016-07-02,2016
phid/BU8,andrew leigh,ALP,male,Syd,humanities,university_professor,NA,2010-08-21,2016-07-02,2016
phid/DYW,tony burke,ALP,male,NA,NA,employed_top_management,NA,2004-10-09,2023-01-01,2016
phid/DZP,sharon bird,ALP,female,Syd,humanities,school_teacher,NA,2004-10-09,2023-01-01,2016
phid/DZS,chris bowen,ALP,male,Syd,economics,trade_unionist,NA,2010-08-21,2023-01-01,2016
phid/DZU,kate ellis,ALP,female,NA,NA,full-time_politician,NA,2004-10-09,2019-04-11,2016
phid/DZW,justine elliot,ALP,female,Qld,humanities,other,NA,2004-10-09,2023-01-01,2016
phid/E09,julie owens,ALP,female,Qld,other,employed_top_management,NA,2004-10-09,2023-01-01,2016
phid/ECV,chris hayes,ALP,male,NA,NA,trade_unionist,NA,2010-08-21,2023-01-01,2016
phid/HVO,shayne neumann,ALP,male,Qld,humanities_law,employed_professional,NA,2007-11-24,2023-01-01,2016
phid/HVP,graham perrett,ALP,male,Qld,humanities,full-time_politician,NA,2007-11-24,2023-01-01,2016
phid/HW9,nick champion,ALP,male,NA,humanities,employed_other_white-collar_worker,NA,2007-11-24,2019-04-11,2016
phid/HWA,amanda rishworth,ALP,female,Fli,socialScience,employed_professional,NA,2007-11-24,2023-01-01,2016
phid/HWB,tony zappia,ALP,male,NA,NA,employed_other_white-collar_worker,NA,2007-11-24,2023-01-01,2016
phid/HWG,mark dreyfus,ALP,male,Mel,humanities_law,employed_professional,NA,2007-11-24,2023-01-01,2016
phid/HWK,mark butler,ALP,male,Adl,law,trade_unionist,NA,2007-11-24,2019-04-11,2016
phid/HWL,jason clare,ALP,male,NSW,humanities_law,full-time_politician,NA,2007-11-24,2023-01-01,2016
phid/HWM,julie collins,ALP,female,NA,NA,full-time_politician,NA,2007-11-24,2023-01-01,2016
phid/HWQ,richard marles,ALP,male,Mel,biol_chem_phys_law,trade_unionist,NA,2007-11-24,2023-01-01,2016
phid/HWR,melissa parke,ALP,female,Cur,economics,employed_professional,NA,2007-11-24,2016-05-09,2016
phid/I0O,david feeney,ALP,male,Mon,socialScience,full-time_politician,NA,2013-09-07,2018-02-01,2016
phid/IJ4,warren snowdon,ALP,male,ANU,humanities,school_teacher,NA,2001-11-10,2023-01-01,2016
phid/L6P,alannah mactiernan,ALP,female,UWA,humanities,full-time_politician,NA,2013-09-07,2016-05-09,2016
phid/M3E,rob mitchell,ALP,male,NA,NA,employed_other_white-collar_worker,NA,2010-08-21,2023-01-01,2016
phid/PG6,jenny macklin,ALP,female,Mel,economics,employed_professional,NA,1996-03-02,2019-04-11,2016
phid/R36,anthony albanese,ALP,male,Syd,economics,full-time_politician,NA,1996-03-02,2023-01-01,2016
phid/UK6,kelvin thomson,ALP,male,Mel,humanities_law,full-time_politician,NA,1996-03-02,2016-05-09,2016
phid/VU5,alan griffin,ALP,male,ANU,NA,full-time_politician,NA,1996-03-02,2016-05-09,2016
phid/WF6,michael danby,ALP,male,NA,NA,full-time_politician,Military,1998-10-03,2019-04-11,2016
