phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1993-03-13,2016-05-09,2000
phid/0K6,kerry bartlett,LP,male,Syd,economics,school_teacher,NA,1996-03-02,2007-11-24,2000
phid/0L6,trish draper,LP,female,Oth,economics,employed_professional,Military,1996-03-02,2007-10-17,2000
phid/0V5,peter slipper,LP,male,Qld,humanities_law,employed_professional,NA,1993-03-13,2013-09-07,2000
phid/1K6,bruce billson,LP,male,RMIT,economics,full-time_politician,NA,1996-03-02,2016-05-09,2000
phid/2K6,mal brough,LP,male,NA,NA,employed_professional,Military,1996-03-02,2007-11-24,2000
phid/30000,kathy sullivan,LP,female,Qld,humanities,school_teacher,NA,1984-12-01,2001-10-08,2000
phid/3K6,ross cameron,LP,male,Syd,humanities_law,employed_professional,NA,1996-03-02,2004-10-09,2000
phid/4G4,alexander downer,LP,male,NUK,economics,employed_professional,NA,1984-12-01,2008-07-14,2000
phid/4V5,judi moylan,LP,female,NA,NA,employed_top_management,NA,1993-03-13,2013-08-05,2000
phid/6K6,kay elson,LP,female,NA,NA,employed_professional,NA,1996-03-02,2007-10-17,2000
phid/7K6,warren entsch,LP,male,NA,NA,employed_top_management,Military,1996-03-02,2007-10-17,2000
phid/7V5,daryl williams,LP,male,UWA,law,employed_professional,NA,1993-03-13,2004-08-31,2000
phid/80000,michael wooldridge,LP,male,Mel,biol_chem_phys_medicine,employed_professional,NA,1987-07-11,2001-10-08,2000
phid/83B,margaret may,LP,female,NA,NA,employed_other_white-collar_worker,NA,1998-10-03,2010-07-19,2000
phid/83P,julie bishop,LP,female,Adl,law,employed_top_management,NA,1998-10-03,2019-05-18,2000
phid/83Q,alby schultz,LP,male,NA,NA,employed_blue-collar_worker,NA,1998-10-03,2013-08-05,2000
phid/848,patrick secker,LP,male,Fli,economics,employed_top_management,NA,1998-10-03,2013-08-05,2000
phid/84C,cameron thompson,LP,male,NA,NA,full-time_politician,NA,1998-10-03,2007-11-24,2000
phid/84F,mal washer,LP,male,UWA,medicine,employed_professional,NA,1998-10-03,2013-08-05,2000
phid/84T,barry haase,LP,male,NA,NA,employed_top_management,Military,1998-10-03,2010-08-21,2000
phid/8H4,david hawker,LP,male,Mel,economics,self-employed_farmer_fisherman,NA,1983-05-07,2010-07-19,2000
phid/8V5,trish worth,LP,female,NA,NA,employed_professional,NA,1993-03-13,2004-10-09,2000
phid/9K6,teresa gambaro,LP,male,QUT,economics,self-employed_professional,NA,1996-03-02,2007-11-24,2000
phid/9V5,christopher pyne,LP,male,Adl,law,employed_professional,NA,1993-03-13,2019-04-11,2000
phid/AK6,joanna gash,LP,female,NA,NA,employed_other_white-collar_worker,NA,1996-03-02,2013-08-05,2000
phid/BT4,david kemp,LP,male,Mel,humanities_law,university_professor,NA,1990-03-24,2004-08-31,2000
phid/CK6,gary hardgrave,LP,male,GRI,humanities,other,NA,1996-03-02,2007-11-24,2000
phid/CT4,peter costello,LP,male,Mon,humanities_law,employed_professional,Military,1990-03-24,2009-10-19,2000
phid/CU4,christine gallus,LP,female,ANU,socialScience,employed_other_white-collar_worker,NA,1993-03-13,2004-08-31,2000
phid/DK6,joe hockey,LP,male,Syd,humanities_law,full-time_politician,NA,1996-03-02,2015-10-23,2000
phid/EI4,john moore,LP,male,Qld,economics,employed_top_management,NA,1975-12-13,2001-02-05,2000
phid/EM6,sharman stone,LP,female,Mon,socialScience,employed_top_management,NA,1996-03-02,2016-05-09,2000
phid/EZ5,tony abbott,LP,male,Syd,economics_law,employed_top_management,NA,1994-03-26,2019-05-18,2000
phid/FB6,andrew thomson,LP,male,Mel,humanities_law,employed_professional,NA,1995-04-08,2001-10-08,2000
phid/GK6,jackie kelly,LP,female,Qld,law,employed_professional,Military,1996-10-19,2007-10-17,2000
phid/HE4,neil andrew,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1983-03-05,2004-08-31,2000
phid/HK5,kevin andrews,LP,male,Mel,law,employed_professional,NA,1991-05-11,2023-01-01,2000
phid/HK6,peter lindsay,LP,male,NA,NA,employed_middle_management,NA,1996-03-02,2010-07-19,2000
phid/HM5,petro georgiou,LP,male,Mel,humanities,full-time_politician,NA,1994-11-19,2010-07-19,2000
phid/HQ5,john fahey,LP,male,Syd,law,employed_professional,NA,1996-03-02,2001-10-08,2000
phid/HV5,barry wakelin,LP,male,NA,NA,self-employed_small_businessman,NA,1993-03-13,2007-10-17,2000
phid/IK6,jim lloyd,LP,male,NA,NA,employed_top_management,NA,1996-03-02,2007-11-24,2000
phid/JT4,fran bailey,LP,female,Qld,other,school_teacher,NA,1996-03-02,2010-07-19,2000
phid/MH4,david jull,LP,male,NA,NA,employed_other_white-collar_worker,NA,1984-12-01,2007-10-17,2000
phid/MP6,bruce baird,LP,male,Syd,humanities,employed_top_management,NA,1998-10-03,2007-10-17,2000
phid/OK6,gary nairn,LP,male,NSW,other,self-employed_professional,NA,1996-03-02,2007-11-24,2000
phid/OT4,bob charles,LP,male,Oth,engineering,employed_top_management,NA,1990-03-24,2004-08-31,2000
phid/RI4,geoff prosser,LP,male,NA,NA,employed_top_management,NA,1987-07-11,2007-10-17,2000
phid/RW5,brendan nelson,LP,male,Fli,medicine,employed_professional,NA,1996-03-02,2009-10-19,2000
phid/SD4,alan cadman,LP,male,NSW,NA,employed_top_management,NA,1974-05-18,2007-10-17,2000
phid/SE4,bronwyn bishop,LP,female,NA,law,employed_top_management,NA,1994-03-26,2016-05-09,2000
phid/SJ4,wilson tuckey,LP,male,NA,NA,employed_top_management,NA,1980-10-18,2010-08-21,2000
