phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/1V4,jim cairns,ALP,male,Mel,economics,university_professor,Military,1955-12-10,1969-10-25,1961
phid/2V4,clyde cameron,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1980-09-19,1961
phid/6U4,gough whitlam,ALP,male,Syd,humanities_law,employed_professional,Military,1952-11-29,1978-07-31,1961
phid/6V4,fred daly,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1975-11-11,1961
phid/BV8,arthur calwell,ALP,male,NA,NA,trade_unionist,NA,1940-09-21,1972-11-02,1961
phid/EE4,tom uren,ALP,male,NA,NA,self-employed_small_businessman,Military,1958-11-22,1990-02-19,1961
phid/JAG,frank crean,ALP,male,Mel,humanities,employed_professional,NA,1951-04-28,1977-11-10,1961
phid/JF7,kim edward beazley,ALP,male,UWA,humanities,university_professor,NA,1945-08-18,1977-11-10,1961
phid/JO8,lance barnard,ALP,male,NA,NA,school_teacher,NA,1954-05-29,1975-06-02,1961
phid/JOO,noel beaton,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1960-07-16,1969-04-09,1961
phid/JPE,alan bird,ALP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1962-07-21,1961
phid/JSU,gordon bryant,ALP,male,Mel,humanities,school_teacher,Military,1955-12-10,1980-09-19,1961
phid/JUQ,joe clark,ALP,male,NA,NA,self-employed_small_businessman,NA,1934-09-15,1969-09-29,1961
phid/JUX,dan minogue,ALP,male,NA,NA,self-employed_small_businessman,NA,1949-12-10,1969-06-26,1961
phid/JVU,jock nelson,ALP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1966-10-31,1961
phid/JWU,allan fraser,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1943-08-21,1966-11-26,1961
phid/JWX,jim fraser,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1951-04-28,1970-04-01,1961
phid/JYJ,lionel clay,ALP,male,NA,NA,school_teacher,NA,1958-11-22,1963-11-30,1961
phid/JZP,bill fulton,ALP,male,NA,NA,employed_top_management,Military,1958-11-22,1975-11-11,1961
phid/K58,william o'connor,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-09-29,1961
phid/K5L,jim cope,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-10-25,1961
phid/K6T,dominic costa,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1969-09-29,1961
phid/K6V,frank courtnay,ALP,male,NA,NA,trade_unionist,NA,1958-11-22,1969-09-29,1961
phid/K8B,dan curtin,ALP,male,NA,NA,employed_blue-collar_worker,NA,1955-12-10,1969-09-29,1961
phid/K97,pat galvin,ALP,male,NA,NA,trade_unionist,NA,1951-04-28,1966-11-26,1961
phid/K9M,les johnson,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1966-11-26,1961
phid/KCB,ron davies,ALP,male,Tas,humanities,school_teacher,Military,1958-11-22,1975-12-13,1961
phid/KDA,gil duthie,ALP,male,Mel,humanities,school_teacher,NA,1946-09-28,1975-12-13,1961
phid/KDV,charles jones,ALP,male,NA,NA,trade_unionist,NA,1958-11-22,1983-02-04,1961
phid/KE7,victor kearney,ALP,male,NA,NA,trade_unionist,NA,1956-04-11,1963-11-01,1961
phid/KFG,charles griffiths,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1972-11-02,1961
phid/KGX,les haylen,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1943-08-21,1963-11-30,1961
phid/KID,tony luchetti,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1951-07-28,1975-11-11,1961
phid/KJO,bert james,ALP,male,NA,NA,employed_blue-collar_worker,NA,1960-04-09,1980-09-19,1961
phid/KLL,norman makin,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1955-12-10,1963-11-01,1961
phid/KNM,jim harrison,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1969-09-29,1961
phid/KQY,joe sexton,ALP,male,NA,NA,full-time_politician,NA,1958-11-22,1966-11-26,1961
phid/KRK,hector mcivor,ALP,male,NA,NA,employed_other_white-collar_worker,NA,1955-12-10,1972-11-02,1961
phid/KUX,frank stewart,ALP,male,NA,NA,other,Military,1953-08-29,1977-12-10,1961
phid/KVT,albert thompson,ALP,male,NA,NA,self-employed_farmer_fisherman,NA,1949-12-10,1963-11-01,1961
phid/KX7,eddie ward,ALP,male,NA,NA,trade_unionist,NA,1932-02-06,1963-07-31,1961
phid/KXZ,ted peters,ALP,male,NA,NA,trade_unionist,NA,1955-12-10,1969-09-29,1961
phid/KYC,reg pollard,ALP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1966-11-26,1961
phid/KYS,len reynolds,ALP,male,Syd,humanities_other,university_professor,Military,1958-11-22,1966-11-26,1961
phid/KZ9,bill riordan,ALP,male,NA,NA,full-time_politician,NA,1936-12-12,1966-10-31,1961
phid/KZX,george lawson,ALP,male,NA,NA,trade_unionist,Military,1931-12-19,1961-11-02,1961
phid/L0F,edgar russell,ALP,male,NA,NA,self-employed_professional,NA,1943-08-21,1963-03-31,1961
