phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0095J,peter howson,LP,male,Cam,humanities,employed_top_management,Military,1955-12-10,1969-10-25,1967
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1967
phid/009MC,harold holt,LP,male,Mel,law,employed_professional,NA,1949-12-10,1967-12-19,1967
phid/009MM,bert kelly,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1958-11-22,1977-11-10,1967
phid/0K4,ian wilson,LP,male,Adl,law,employed_professional,NA,1966-11-26,1969-10-25,1967
phid/3G4,don dobie,LP,male,Mel,humanities,self-employed_professional,NA,1966-11-26,1969-10-25,1967
phid/3V4,don chipp,LP,male,Mel,humanities,employed_professional,Military,1960-12-10,1969-10-25,1967
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1967
phid/9F4,donald cameron,LP,male,Qld,humanities,peak_body_industrial_association,NA,1966-11-26,1977-12-10,1967
phid/DB6,bill wentworth,LP,male,Oxf,economics,self-employed_professional,Military,1949-12-10,1977-11-10,1967
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1967
phid/IIS,tom hughes,LP,male,Syd,law,employed_professional,Military,1963-11-30,1969-10-25,1967
phid/JMC,bill arthur,LP,male,NA,NA,full-time_politician,Military,1966-11-26,1969-10-25,1967
phid/JMF,william aston,LP,male,NA,NA,employed_top_management,Military,1963-11-30,1972-12-02,1967
phid/JOE,jeff bate,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1972-12-02,1967
phid/JQB,robert bonnett,LP,male,NA,NA,full-time_politician,Military,1966-11-26,1977-11-10,1967
phid/JR9,len bosman,LP,male,NA,NA,employed_blue-collar_worker,Military,1963-11-30,1969-10-25,1967
phid/JRN,nigel bowen,LP,male,Syd,humanities_law,employed_professional,Military,1964-06-20,1973-07-11,1967
phid/JSE,william bridges-maxwell,LP,male,Oth,agronomy,employed_professional,NA,1964-12-05,1969-10-25,1967
phid/JSO,kay brownbill,LP,female,NA,NA,employed_other_white-collar_worker,NA,1966-11-26,1969-10-25,1967
phid/JSY,alexander buchanan,LP,male,NA,humanities,self-employed_farmer_fisherman,Military,1955-12-10,1972-12-02,1967
phid/JTP,les bury,LP,male,Cam,humanities,employed_top_management,Military,1956-12-08,1974-04-11,1967
phid/JTS,kevin cairns,LP,male,Qld,humanities_economics,employed_professional,NA,1963-11-30,1972-12-02,1967
phid/JVO,dugald munro,LP,male,NA,NA,no_previous_occupation,NA,1966-11-26,1969-10-25,1967
phid/JWI,max fox,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1974-05-18,1967
phid/JWV,fred chaney sr.,LP,male,NA,NA,school_teacher,Military,1955-12-10,1969-10-25,1967
phid/JXI,gordon freeth,LP,male,UWA,law,employed_professional,Military,1949-12-10,1969-10-25,1967
phid/JYO,richard cleaver,LP,male,NA,NA,employed_professional,Military,1955-12-10,1969-10-25,1967
phid/K7J,john cramer,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1974-04-11,1967
phid/KAB,andrew jones,LP,male,Adl,humanities,employed_other_white-collar_worker,NA,1966-11-26,1969-10-25,1967
phid/KAR,wylie gibbs,LP,male,Qld,medicine,employed_professional,NA,1963-11-30,1969-10-25,1967
phid/KAU,adrian gibson,LP,male,Tas,law,employed_professional,NA,1964-02-15,1969-09-29,1967
phid/KB8,geoffrey giles,LP,male,Adl,humanities,self-employed_farmer_fisherman,Military,1964-06-20,1977-12-10,1967
