phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/00AMN,sussan ley,LP,female,LaT,economics,employed_top_management,NA,2001-11-10,2023-01-01,2002
phid/00AMO,pat farmer,LP,male,NA,NA,employed_blue-collar_worker,NA,2001-11-10,2010-07-19,2002
phid/00AMQ,peter king,LP,male,Syd,humanities_law,employed_professional,Military,2001-11-10,2004-10-09,2002
phid/00AMU,sophie mirabella,LP,female,Mel,economics_law,employed_professional,NA,2001-11-10,2013-09-07,2002
phid/00AMV,greg hunt,LP,male,Mel,humanities_law,full-time_politician,NA,2001-11-10,2023-01-01,2002
phid/00AMX,michael johnson,LP,male,Qld,humanities_law,employed_professional,NA,2001-11-10,2010-08-21,2002
phid/00ANF,ken ticehurst,LP,male,NA,NA,employed_top_management,NA,2001-11-10,2007-11-24,2002
phid/00APG,tony smith,LP,male,Mel,humanities_economics,full-time_politician,NA,2001-11-10,2023-01-01,2002
phid/0J4,philip ruddock,LP,male,Syd,humanities_law,employed_professional,NA,1993-03-13,2016-05-09,2002
phid/0K6,kerry bartlett,LP,male,Syd,economics,school_teacher,NA,1996-03-02,2007-11-24,2002
phid/0L6,trish draper,LP,female,Oth,economics,employed_professional,Military,1996-03-02,2007-10-17,2002
phid/0V5,peter slipper,LP,male,Qld,humanities_law,employed_professional,NA,1993-03-13,2013-09-07,2002
phid/1K6,bruce billson,LP,male,RMIT,economics,full-time_politician,NA,1996-03-02,2016-05-09,2002
phid/2K6,mal brough,LP,male,NA,NA,employed_professional,Military,1996-03-02,2007-11-24,2002
phid/3K6,ross cameron,LP,male,Syd,humanities_law,employed_professional,NA,1996-03-02,2004-10-09,2002
phid/4G4,alexander downer,LP,male,NUK,economics,employed_professional,NA,1984-12-01,2008-07-14,2002
phid/4V5,judi moylan,LP,female,NA,NA,employed_top_management,NA,1993-03-13,2013-08-05,2002
phid/6K6,kay elson,LP,female,NA,NA,employed_professional,NA,1996-03-02,2007-10-17,2002
phid/7K6,warren entsch,LP,male,NA,NA,employed_top_management,Military,1996-03-02,2007-10-17,2002
phid/7V5,daryl williams,LP,male,UWA,law,employed_professional,NA,1993-03-13,2004-08-31,2002
phid/83B,margaret may,LP,female,NA,NA,employed_other_white-collar_worker,NA,1998-10-03,2010-07-19,2002
phid/83P,julie bishop,LP,female,Adl,law,employed_top_management,NA,1998-10-03,2019-05-18,2002
phid/83Q,alby schultz,LP,male,NA,NA,employed_blue-collar_worker,NA,1998-10-03,2013-08-05,2002
phid/848,patrick secker,LP,male,Fli,economics,employed_top_management,NA,1998-10-03,2013-08-05,2002
phid/84C,cameron thompson,LP,male,NA,NA,full-time_politician,NA,1998-10-03,2007-11-24,2002
phid/84F,mal washer,LP,male,UWA,medicine,employed_professional,NA,1998-10-03,2013-08-05,2002
phid/84T,barry haase,LP,male,NA,NA,employed_top_management,Military,1998-10-03,2010-08-21,2002
phid/8H4,david hawker,LP,male,Mel,economics,self-employed_farmer_fisherman,NA,1983-05-07,2010-07-19,2002
phid/8V5,trish worth,LP,female,NA,NA,employed_professional,NA,1993-03-13,2004-10-09,2002
phid/9K6,teresa gambaro,LP,male,QUT,economics,self-employed_professional,NA,1996-03-02,2007-11-24,2002
phid/9V5,christopher pyne,LP,male,Adl,law,employed_professional,NA,1993-03-13,2019-04-11,2002
phid/A8W,chris pearce,LP,male,Mon,economics,employed_top_management,NA,2001-07-14,2010-07-19,2002
phid/AK6,joanna gash,LP,female,NA,NA,employed_other_white-collar_worker,NA,1996-03-02,2013-08-05,2002
phid/BT4,david kemp,LP,male,Mel,humanities_law,university_professor,NA,1990-03-24,2004-08-31,2002
phid/CK6,gary hardgrave,LP,male,GRI,humanities,other,NA,1996-03-02,2007-11-24,2002
phid/CT4,peter costello,LP,male,Mon,humanities_law,employed_professional,Military,1990-03-24,2009-10-19,2002
phid/CU4,christine gallus,LP,female,ANU,socialScience,employed_other_white-collar_worker,NA,1993-03-13,2004-08-31,2002
phid/DK6,joe hockey,LP,male,Syd,humanities_law,full-time_politician,NA,1996-03-02,2015-10-23,2002
phid/EM6,sharman stone,LP,female,Mon,socialScience,employed_top_management,NA,1996-03-02,2016-05-09,2002
phid/EZ5,tony abbott,LP,male,Syd,economics_law,employed_top_management,NA,1994-03-26,2019-05-18,2002
phid/GK6,jackie kelly,LP,female,Qld,law,employed_professional,Military,1996-10-19,2007-10-17,2002
phid/HE4,neil andrew,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1983-03-05,2004-08-31,2002
phid/HK5,kevin andrews,LP,male,Mel,law,employed_professional,NA,1991-05-11,2023-01-01,2002
phid/HK6,peter lindsay,LP,male,NA,NA,employed_middle_management,NA,1996-03-02,2010-07-19,2002
phid/HM5,petro georgiou,LP,male,Mel,humanities,full-time_politician,NA,1994-11-19,2010-07-19,2002
phid/HV5,barry wakelin,LP,male,NA,NA,self-employed_small_businessman,NA,1993-03-13,2007-10-17,2002
phid/IK6,jim lloyd,LP,male,NA,NA,employed_top_management,NA,1996-03-02,2007-11-24,2002
phid/JT4,fran bailey,LP,female,Qld,other,school_teacher,NA,1996-03-02,2010-07-19,2002
phid/LL6,bob baldwin,LP,male,NA,NA,employed_top_management,NA,2001-11-10,2016-05-09,2002
phid/MH4,david jull,LP,male,NA,NA,employed_other_white-collar_worker,NA,1984-12-01,2007-10-17,2002
phid/MP6,bruce baird,LP,male,Syd,humanities,employed_top_management,NA,1998-10-03,2007-10-17,2002
phid/OK6,gary nairn,LP,male,NSW,other,self-employed_professional,NA,1996-03-02,2007-11-24,2002
phid/OT4,bob charles,LP,male,Oth,engineering,employed_top_management,NA,1990-03-24,2004-08-31,2002
phid/PK6,don randall,LP,male,NA,NA,school_teacher,NA,2001-11-10,2015-07-21,2002
phid/RI4,geoff prosser,LP,male,NA,NA,employed_top_management,NA,1987-07-11,2007-10-17,2002
phid/RW5,brendan nelson,LP,male,Fli,medicine,employed_professional,NA,1996-03-02,2009-10-19,2002
phid/SD4,alan cadman,LP,male,NSW,NA,employed_top_management,NA,1974-05-18,2007-10-17,2002
phid/SE4,bronwyn bishop,LP,female,NA,law,employed_top_management,NA,1994-03-26,2016-05-09,2002
phid/SJ4,wilson tuckey,LP,male,NA,NA,employed_top_management,NA,1980-10-18,2010-08-21,2002
phid/TK6,andrew southcott,LP,male,Adl,medicine,employed_professional,NA,1996-03-02,2016-05-09,2002
phid/VH4,stewart mcarthur,LP,male,Cam,humanities,self-employed_farmer_fisherman,NA,1984-02-18,2007-11-24,2002
phid/VK6,danna vale,LP,female,UNE,humanities,employed_professional,NA,1996-03-02,2010-07-19,2002
phid/WN6,ian macfarlane,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1998-10-03,2016-05-09,2002
phid/ZD4,john howard,LP,male,Syd,law,employed_professional,NA,1974-05-18,2007-11-24,2002
phid/ZJ6,phil barresi,LP,male,ANU,humanities,employed_other_white-collar_worker,NA,1996-03-02,2007-11-24,2002
phid/ZT4,alex somlyay,LP,male,ANU,economics,employed_professional,NA,1990-03-24,2013-08-05,2002
