phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/0095J,peter howson,LP,male,Cam,humanities,employed_top_management,Military,1955-12-10,1969-10-25,1959
phid/009MA,william mcmahon,LP,male,Syd,economics_law,employed_professional,Military,1949-12-10,1982-01-04,1959
phid/009MC,harold holt,LP,male,Mel,law,employed_professional,NA,1949-12-10,1967-12-19,1959
phid/009MM,bert kelly,LP,male,NA,NA,self-employed_farmer_fisherman,NA,1958-11-22,1977-11-10,1959
phid/126,garfield barwick,LP,male,Syd,humanities_law,employed_professional,NA,1958-03-08,1964-04-24,1959
phid/4U4,jim killen,LP,male,Qld,law,employed_professional,Military,1955-12-10,1983-08-15,1959
phid/DB6,bill wentworth,LP,male,Oxf,economics,self-employed_professional,Military,1949-12-10,1977-11-10,1959
phid/DQF,billy snedden,LP,male,UWA,law,employed_professional,Military,1955-12-10,1983-04-21,1959
phid/JMF,william aston,LP,male,NA,NA,employed_top_management,Military,1955-12-10,1961-12-09,1959
phid/JOE,jeff bate,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1949-12-10,1972-12-02,1959
phid/JQ7,francis bland,LP,male,Syd,law,university_professor,NA,1951-04-28,1961-11-02,1959
phid/JSQ,peter browne,LP,male,NA,NA,full-time_politician,Military,1958-11-22,1961-12-09,1959
phid/JSY,alexander buchanan,LP,male,NA,humanities,self-employed_farmer_fisherman,Military,1955-12-10,1972-12-02,1959
phid/JTP,les bury,LP,male,Cam,humanities,employed_top_management,Military,1956-12-08,1974-04-11,1959
phid/JU8,don cameron,LP,male,Syd,humanities,other,Military,1949-12-10,1961-12-09,1959
phid/JUN,arthur chresby,LP,male,NA,NA,self-employed_professional,NA,1958-11-22,1961-12-09,1959
phid/JVQ,john murray,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1958-11-22,1961-12-09,1959
phid/JWE,richard casey,LP,male,Cam,engineering,employed_top_management,Military,1949-12-10,1960-02-10,1959
phid/JWI,max fox,LP,male,NA,NA,employed_other_white-collar_worker,Military,1955-12-10,1974-05-18,1959
phid/JWK,doug cash,LP,male,UWA,humanities,employed_top_management,Military,1958-11-22,1961-12-09,1959
phid/JWV,fred chaney sr.,LP,male,NA,NA,school_teacher,Military,1955-12-10,1969-10-25,1959
phid/JXI,gordon freeth,LP,male,UWA,law,employed_professional,Military,1949-12-10,1969-10-25,1959
phid/JYO,richard cleaver,LP,male,NA,NA,employed_professional,Military,1955-12-10,1969-10-25,1959
phid/K7J,john cramer,LP,male,NA,NA,employed_other_white-collar_worker,Military,1949-12-10,1974-04-11,1959
phid/KBH,keith wilson,LP,male,Adl,law,employed_professional,Military,1955-12-10,1966-10-31,1959
phid/KCD,frank davis,LP,male,NA,NA,employed_blue-collar_worker,NA,1949-12-10,1966-10-31,1959
phid/KCK,alick downer,LP,male,Oxf,economics,employed_professional,Military,1949-12-10,1964-04-23,1959
phid/KCU,nigel drury,LP,male,NA,NA,employed_professional,Military,1949-12-10,1975-11-11,1959
phid/KDO,dudley erwin,LP,male,NA,NA,self-employed_farmer_fisherman,Military,1955-12-10,1975-11-11,1959
phid/KDT,david fairbairn,LP,male,Cam,humanities,self-employed_farmer_fisherman,Military,1949-12-10,1975-11-11,1959
phid/KDY,percy joske,LP,male,Mel,law,employed_professional,Military,1951-07-28,1960-06-02,1959
phid/KEE,wilfrid kent hughes,LP,male,Oxf,humanities,employed_top_management,Military,1949-12-10,1970-07-31,1959
phid/KEN,allen fairhall,LP,male,NA,NA,employed_blue-collar_worker,Military,1949-12-10,1969-09-29,1959
phid/KEP,bill falkinder,LP,male,NA,NA,employed_professional,Military,1946-09-28,1966-10-31,1959
