phid,Name,Party,Sex,Uni,Subject,PrinOcc,Military,mpFrom,mpTo,year
phid/009DB,bill morrison,ALP,male,Syd,economics,other,NA,1969-10-25,1975-12-13,1972
phid/1V4,jim cairns,ALP,male,Mel,economics,university_professor,Military,1969-10-25,1977-11-10,1972
phid/2V4,clyde cameron,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1980-09-19,1972
phid/5J4,gordon scholes,ALP,male,NA,NA,employed_blue-collar_worker,NA,1967-07-22,1993-02-08,1972
phid/6U4,gough whitlam,ALP,male,Syd,humanities_law,employed_professional,Military,1952-11-29,1978-07-31,1972
phid/6V4,fred daly,ALP,male,NA,NA,trade_unionist,NA,1949-12-10,1975-11-11,1972
phid/8H7,kep enderby,ALP,male,Syd,law,employed_professional,Military,1970-05-30,1974-05-18,1972
phid/8V4,al grassby,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1969-10-25,1974-05-18,1972
phid/AV4,chris hurford,ALP,male,LSE,economics,employed_professional,NA,1969-10-25,1987-12-31,1972
phid/BV8,arthur calwell,ALP,male,NA,NA,trade_unionist,NA,1940-09-21,1972-11-02,1972
phid/CV4,ralph jacobi,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1987-06-05,1972
phid/DRW,harry jenkins sr,ALP,male,Mel,biol_chem_phys,employed_professional,NA,1969-10-25,1985-12-20,1972
phid/EE4,tom uren,ALP,male,NA,NA,self-employed_small_businessman,Military,1958-11-22,1990-02-19,1972
phid/JAG,frank crean,ALP,male,Mel,humanities,employed_professional,NA,1951-04-28,1977-11-10,1972
phid/JF7,kim edward beazley,ALP,male,UWA,humanities,university_professor,NA,1945-08-18,1977-11-10,1972
phid/JM9,john armitage,ALP,male,NA,NA,employed_other_white-collar_worker,Military,1969-10-25,1983-02-04,1972
phid/JNG,moss cass,ALP,male,Syd,medicine,employed_professional,NA,1969-10-25,1983-02-04,1972
phid/JO8,lance barnard,ALP,male,NA,NA,school_teacher,NA,1954-05-29,1975-06-02,1972
phid/JOU,adrian bennett,ALP,male,NA,NA,trade_unionist,NA,1969-10-25,1975-12-13,1972
