0	PIT
1	Mel
2	Mon
3	UM
4	UWA
5	CUT
6	AU of Cairo
7	Syd
8	UTS
9	NSW
10	Oth
11	UNSW ADFA
12	QUT
13	USyd
14	UND (Aus)
15	Qld
16	CQU
17	UTAS
18	UNewcastle
19	ANU
20	Gri
21	UQ
22	CSU
23	UWS
24	Wol
25	Mac
26	Fli
27	Adl
28	socialScience
29	humanities
30	humanities_law
31	law
32	economics
33	medicine
34	biol_chem_phys
35	biol_chem_phys_law
36	employed_top_management
37	employed_professional
38	school_teacher
39	trade_unionist
40	international_organisation
41	self-employed_professional
42	university_professor
43	full-time_politician
44	employed_middle_management
45	self-employed_small_businessman
46	employed_other_white-collar_worker
47	Military
