0	LaT
1	Mel
2	UNSW
3	USQ
4	UQ
5	Cur
6	USyd
7	UWA
8	Syd
9	Fli
10	NSW
11	ANU
12	Dea
13	Flinders
14	UC
15	Oth
16	UNSW ADFA
17	QUT
18	Adl
19	RMIT
20	Mur
21	Mon
22	economics
23	humanities_law
24	humanities_economics
25	socialScience
26	agronomy
27	economics_law
28	biol_chem_phys
29	humanities
30	law
31	employed_top_management
32	full-time_politician
33	self-employed_farmer_fisherman
34	employed_professional
35	school_teacher
36	employed_other_white-collar_worker
37	employed_middle_management
38	self-employed_professional
39	employed_blue-collar_worker
40	self-employed_small_businessman
41	Military
