0	Mon
1	Qld
2	Syd
3	UWA
4	Mel
5	UNE
6	Adl
7	ANU
8	LaT
9	LSE
10	UWE
11	New
12	Wol
13	Oth
14	QIT
15	NSW
16	Tas
17	Cur
18	economics
19	humanities
20	medicine
21	humanities_law
22	law
23	economics_law
24	socialScience
25	mathematics_computerScience
26	biol_chem_phys
27	biol_chem_phys_engineering
28	self-employed_farmer_fisherman
29	employed_professional
30	self-employed_small_businessman
31	full-time_politician
32	school_teacher
33	trade_unionist
34	employed_blue-collar_worker
35	university_professor
36	employed_top_management
37	employed_middle_management
38	employed_other_white-collar_worker
39	self-employed_professional
40	Military
