0	LaT
1	Mel
2	Syd
3	Qld
4	RMIT
5	Adl
6	Fli
7	UWA
8	QUT
9	NSW
10	Mur
11	Mon
12	Oth
13	ANU
14	economics
15	economics_law
16	humanities_law
17	humanities_economics
18	law
19	medicine
20	biol_chem_phys
21	socialScience
22	humanities
23	agronomy_economics
24	employed_top_management
25	employed_professional
26	full-time_politician
27	employed_blue-collar_worker
28	employed_other_white-collar_worker
29	self-employed_professional
30	self-employed_small_businessman
31	self-employed_farmer_fisherman
32	school_teacher
33	Military
