0	LaT
1	Mel
2	Qld
3	Syd
4	RMIT
5	Adl
6	Fli
7	UWA
8	Mon
9	NSW
10	Mur
11	UNE
12	ANU
13	economics
14	economics_law
15	humanities_law
16	humanities_economics
17	law
18	medicine
19	biol_chem_phys
20	socialScience
21	humanities
22	agronomy_economics
23	employed_top_management
24	employed_blue-collar_worker
25	employed_professional
26	full-time_politician
27	employed_other_white-collar_worker
28	self-employed_farmer_fisherman
29	employed_middle_management
30	self-employed_small_businessman
31	school_teacher
32	Military
