0	Syd
1	Mon
2	Mel
3	UWA
4	LSE
5	New
6	UNE
7	ANU
8	Oth
9	SIT
10	NSW
11	Qld
12	LaT
13	UWE
14	Adl
15	WIT
16	Tas
17	Cur
18	economics
19	humanities_law
20	medicine
21	law
22	humanities
23	biol_chem_phys
24	socialScience
25	mathematics_computerScience
26	self-employed_farmer_fisherman
27	employed_professional
28	university_professor
29	trade_unionist
30	school_teacher
31	full-time_politician
32	employed_blue-collar_worker
33	employed_top_management
34	employed_other_white-collar_worker
35	self-employed_small_businessman
36	employed_middle_management
37	self-employed_professional
38	Military
